Sale_Price,Street,Utilities,Total_Bsmt_SF,Bedroom_AbvGr,Garage_Cars,Pool_Area,Gr_Liv_Area,Fireplaces,Lot_Area,TotRms_AbvGrd
215000,Pave,AllPub,1080,3,2,0,1656,2,31770,7
105000,Pave,AllPub,882,2,1,0,896,0,11622,5
172000,Pave,AllPub,1329,3,1,0,1329,0,14267,6
244000,Pave,AllPub,2110,3,2,0,2110,2,11160,8
189900,Pave,AllPub,928,3,2,0,1629,1,13830,6
195500,Pave,AllPub,926,3,2,0,1604,1,9978,7
213500,Pave,AllPub,1338,2,2,0,1338,0,4920,6
191500,Pave,AllPub,1280,2,2,0,1280,0,5005,5
236500,Pave,AllPub,1595,2,2,0,1616,1,5389,5
189000,Pave,AllPub,994,3,2,0,1804,1,7500,7
175900,Pave,AllPub,763,3,2,0,1655,1,10000,7
185000,Pave,AllPub,1168,3,2,0,1187,0,7980,6
180400,Pave,AllPub,789,3,2,0,1465,1,8402,7
171500,Pave,AllPub,1300,2,2,0,1341,1,10176,5
212000,Pave,AllPub,1488,1,2,0,1502,0,6820,4
538000,Pave,AllPub,1650,4,3,0,3279,1,53504,12
164000,Pave,AllPub,559,4,2,0,1752,0,12134,8
394432,Pave,AllPub,1856,1,3,0,1856,1,11394,8
141000,Pave,AllPub,864,2,2,0,864,0,19138,4
210000,Pave,AllPub,1542,3,2,0,2073,2,13175,7
190000,Pave,AllPub,1844,3,2,0,1844,1,11751,7
170000,Pave,AllPub,1053,3,2,0,1173,2,10625,6
216000,Pave,AllPub,814,3,2,0,1674,0,7500,7
149000,Pave,AllPub,1004,2,2,0,1004,1,11241,5
149900,Pave,AllPub,1078,3,2,0,1078,1,12537,6
142000,Pave,AllPub,1056,3,1,0,1056,1,8450,6
126000,Pave,AllPub,882,2,2,0,882,0,8400,4
115000,Pave,AllPub,864,3,0,0,864,1,10500,5
184000,Pave,AllPub,1405,2,2,0,1337,1,5858,5
96000,Pave,AllPub,483,2,1,0,987,0,1680,5
105500,Pave,AllPub,525,3,1,0,1092,0,1680,6
88000,Pave,AllPub,525,3,1,0,1092,0,1680,6
127500,Pave,AllPub,1069,2,2,0,1069,1,4043,4
149900,Pave,AllPub,855,3,2,0,1456,1,2280,6
120000,Pave,AllPub,836,2,1,0,836,0,2280,4
146000,Pave,AllPub,855,3,2,0,1456,1,2280,7
376162,Pave,AllPub,1590,3,3,0,2334,1,12858,10
306000,Pave,AllPub,1704,3,3,0,1704,1,11478,7
395192,Pave,AllPub,1930,3,3,0,1940,1,10159,8
290941,Pave,AllPub,1544,3,3,0,1544,0,12883,7
220000,Pave,AllPub,1541,3,2,0,1541,1,12182,7
275000,Pave,AllPub,1698,3,3,0,1698,1,11520,7
259000,Pave,AllPub,1822,3,3,0,1822,1,14122,8
214000,Pave,AllPub,1517,3,2,0,1535,0,10171,7
611657,Pave,AllPub,2330,2,3,0,2364,2,12919,11
224000,Pave,AllPub,1358,2,2,0,1358,1,6371,6
500000,Pave,AllPub,2846,3,3,0,2696,2,14300,10
320000,Pave,AllPub,1671,3,3,0,2250,1,13650,7
319900,Pave,AllPub,1752,2,2,0,1752,1,7658,6
205000,Pave,AllPub,1370,2,2,0,1370,1,7132,6
175500,Pave,AllPub,764,2,2,0,1626,0,2628,6
199500,Pave,AllPub,1324,3,2,0,1324,0,18494,6
160000,Pave,AllPub,1145,2,2,0,1145,0,3203,6
192000,Pave,AllPub,1256,2,2,0,1269,1,3182,6
184500,Pave,AllPub,384,3,2,0,1374,1,13300,7
216500,Pave,AllPub,860,4,2,0,1960,2,7851,8
185088,Pave,AllPub,847,3,2,0,1733,1,8577,7
180000,Pave,AllPub,384,3,2,0,1430,1,7750,7
222500,Pave,AllPub,884,3,2,0,2035,1,9505,8
333168,Pave,AllPub,1393,4,3,0,2599,1,14774,10
355000,Pave,AllPub,1629,4,3,0,2475,1,17433,7
260400,Pave,AllPub,1720,3,2,0,1720,1,10593,7
325000,Pave,AllPub,1463,3,2,0,2622,2,12256,9
290000,Pave,AllPub,1152,4,3,0,2270,1,11764,9
221000,Pave,AllPub,1195,4,2,0,1839,0,16770,7
410000,Pave,AllPub,2033,4,3,0,3238,1,14720,9
221500,Pave,AllPub,1595,2,3,0,1595,1,8987,6
204500,Pave,AllPub,1218,2,2,0,1218,0,9215,4
215200,Pave,AllPub,756,3,2,0,1547,0,8640,7
262500,Pave,AllPub,1566,3,2,0,1566,0,9000,7
254900,Pave,AllPub,991,3,2,0,1947,1,12552,8
271500,Pave,AllPub,1468,2,2,0,1468,1,10440,6
233000,Pave,AllPub,956,4,2,0,2084,0,10142,8
181000,Pave,AllPub,831,3,2,0,1659,0,11920,8
205000,Pave,AllPub,948,3,2,0,2110,2,8880,8
143000,Pave,AllPub,923,2,1,0,923,1,8012,5
189000,Pave,AllPub,1055,3,2,0,1845,1,11218,8
99500,Pave,AllPub,918,2,1,0,918,1,7892,5
125000,Pave,AllPub,744,2,1,0,752,0,7175,4
194500,Pave,AllPub,996,3,2,0,1744,0,9453,7
152000,Pave,AllPub,1040,3,2,0,1097,0,9672,6
171000,Pave,AllPub,650,3,2,0,1564,1,8400,7
67500,Pave,AllPub,816,2,1,0,1012,0,9800,5
112000,Pave,AllPub,0,4,2,0,1902,0,8930,8
148000,Pave,AllPub,1109,3,2,0,1155,0,11782,6
138500,Pave,AllPub,894,3,1,0,894,1,8450,5
122000,Pave,AllPub,882,3,1,0,900,0,9819,5
133000,Pave,AllPub,1040,3,1,0,1040,0,7500,5
127000,Pave,AllPub,1040,3,1,0,1040,0,6897,6
169000,Pave,AllPub,1208,3,2,0,1494,2,15410,7
190000,Pave,AllPub,750,3,2,0,1923,1,10186,8
362500,Pave,AllPub,1231,4,3,0,2349,1,13143,9
285000,Pave,AllPub,1390,4,3,0,2225,1,11134,7
260000,Pave,AllPub,1488,2,2,0,1488,1,4835,6
190000,Pave,AllPub,840,2,2,0,1680,0,3515,3
155000,Pave,AllPub,600,2,2,0,1200,0,3215,4
151000,Pave,AllPub,600,2,2,0,1200,0,3182,4
149500,Pave,AllPub,600,2,2,0,1200,0,2544,4
152000,Pave,AllPub,600,2,2,0,1236,0,2544,4
222000,Pave,AllPub,1470,2,2,0,1478,1,4403,7
177500,Pave,AllPub,756,3,2,0,1573,0,2117,5
177000,Pave,AllPub,756,2,2,0,1512,0,2980,5
155000,Pave,AllPub,696,3,2,0,1416,0,2572,6
147110,Pave,AllPub,530,2,2,0,1080,0,2403,4
267916,Pave,AllPub,1642,1,3,0,1418,1,12853,6
254000,Pave,AllPub,975,3,2,0,1848,1,7379,7
155000,Pave,AllPub,728,1,2,0,788,1,4420,3
206000,Pave,AllPub,1226,1,2,0,1226,1,3880,4
130500,Pave,AllPub,725,3,2,0,1479,0,13517,6
230000,Pave,AllPub,1492,3,2,0,1492,1,8000,6
218500,Pave,AllPub,1829,4,2,0,1829,0,10456,8
243500,Pave,AllPub,1280,4,2,0,2495,1,10791,9
205000,Pave,AllPub,1610,3,2,0,1610,2,10603,6
212500,Pave,AllPub,1224,3,2,0,1891,1,18837,7
196500,Pave,AllPub,980,3,2,0,1714,1,10421,7
197500,Pave,AllPub,1161,3,2,0,1381,1,9360,5
171000,Pave,AllPub,715,4,2,0,1645,0,9600,7
142250,Pave,AllPub,1232,3,2,0,1232,0,9600,6
143000,Pave,AllPub,1328,3,2,0,1328,2,9790,6
128950,Pave,AllPub,950,3,0,0,1225,0,9320,6
159000,Pave,AllPub,1209,3,2,0,1209,0,9900,6
178900,Pave,AllPub,1510,3,2,0,1510,0,9680,6
136300,Pave,AllPub,533,3,2,0,1775,0,10600,8
180500,Pave,AllPub,1152,3,2,0,1152,1,14112,6
137500,Pave,AllPub,936,3,2,0,1054,0,8800,6
84900,Pave,AllPub,1728,6,0,0,1728,0,13260,10
142125,Pave,AllPub,1078,2,1,0,1078,0,9717,5
197600,Pave,AllPub,1140,3,2,0,2461,2,9724,7
172500,Pave,AllPub,782,3,2,0,1556,1,17360,6
116500,Pave,AllPub,858,2,0,0,858,0,7207,4
76500,Pave,AllPub,728,3,0,0,1306,0,5350,6
128000,Pave,AllPub,1056,3,1,0,1063,0,9920,6
153000,Pave,AllPub,1156,3,1,0,1520,2,9600,7
132000,Pave,AllPub,1268,2,1,0,1268,1,7800,7
178000,Pave,AllPub,1080,2,1,0,1128,1,11380,5
154300,Pave,AllPub,1105,5,2,0,2274,0,11600,12
180000,Pave,AllPub,1947,3,2,0,2207,1,19900,7
190000,Pave,AllPub,1517,2,2,0,1888,1,16492,6
135000,Pave,AllPub,1604,4,2,0,1604,0,8267,8
214000,Pave,AllPub,1480,3,2,0,1480,0,8197,7
136000,Pave,AllPub,1143,3,1,0,1143,0,8050,6
165500,Pave,AllPub,1398,4,2,0,1700,1,10552,6
145000,Pave,AllPub,1314,3,1,0,1314,0,8400,5
148000,Pave,AllPub,1194,3,1,0,1194,0,8760,6
142000,Pave,AllPub,1188,3,2,0,1188,0,12160,6
167500,Pave,AllPub,1268,3,2,0,1264,2,9300,6
108538,Pave,AllPub,1206,3,1,0,1206,0,10725,6
159500,Pave,AllPub,1244,3,2,0,1580,2,10032,6
108000,Pave,AllPub,832,3,1,0,1337,0,8382,5
135000,Pave,AllPub,864,2,1,0,1064,0,10950,4
122500,Pave,AllPub,972,3,1,0,972,0,10895,5
119000,Pave,AllPub,988,2,1,0,988,0,13587,5
109000,Pave,AllPub,1057,3,1,0,1057,0,7922,5
105000,Pave,AllPub,576,2,2,0,985,0,7898,4
107500,Pave,AllPub,0,2,1,0,827,1,7200,5
144900,Pave,AllPub,1086,3,2,0,1086,0,10200,6
129000,Pave,AllPub,936,2,1,0,936,0,5868,4
97500,Pave,AllPub,912,3,1,0,1458,1,17503,6
144000,Pave,AllPub,1056,0,2,0,1056,0,6979,4
162000,Pave,AllPub,1063,3,2,0,1287,1,9830,7
242000,Pave,AllPub,710,5,2,0,2978,1,11275,11
132000,Pave,AllPub,816,3,1,0,1224,0,8064,5
154000,Pave,AllPub,1246,3,1,0,1246,0,7500,6
166000,Pave,AllPub,910,4,2,0,1385,0,8520,6
134800,Pave,AllPub,900,3,2,0,900,0,7200,5
160000,Pave,AllPub,1116,3,2,0,1116,0,10000,5
148000,Pave,AllPub,1175,3,2,0,1175,0,7635,6
192000,Pave,AllPub,1395,2,2,0,1395,1,9760,7
155000,Pave,AllPub,756,4,2,0,1839,1,7700,7
80400,Pave,AllPub,709,3,1,0,1844,2,4800,9
96500,Pave,AllPub,576,3,0,0,1140,0,8800,7
109500,Pave,AllPub,936,2,0,0,936,1,4485,5
115000,Pave,AllPub,1008,2,2,0,1028,1,8960,5
143000,Pave,AllPub,1347,3,2,0,1347,0,5805,6
107400,Pave,AllPub,840,3,1,0,1605,0,5790,8
80000,Pave,AllPub,747,2,1,0,747,0,4608,4
119000,Pave,AllPub,788,2,1,0,804,2,7200,4
