"Sale_Price","Street","Utilities","Total_Bsmt_SF","Garage_Cars","Pool_Area","Gr_Liv_Area","Fireplaces","Lot_Area","Bedroom_AbvGr","TotRms_AbvGrd"
215000,"Pave","AllPub",1080,2,0,1656,2,31770,3,7
105000,"Pave","AllPub",882,1,0,896,0,11622,2,5
172000,"Pave","AllPub",1329,1,0,1329,0,14267,3,6
244000,"Pave","AllPub",2110,2,0,2110,2,11160,3,8
189900,"Pave","AllPub",928,2,0,1629,1,13830,3,6
195500,"Pave","AllPub",926,2,0,1604,1,9978,3,7
213500,"Pave","AllPub",1338,2,0,1338,0,4920,2,6
191500,"Pave","AllPub",1280,2,0,1280,0,5005,2,5
236500,"Pave","AllPub",1595,2,0,1616,1,5389,2,5
189000,"Pave","AllPub",994,2,0,1804,1,7500,3,7
175900,"Pave","AllPub",763,2,0,1655,1,10000,3,7
185000,"Pave","AllPub",1168,2,0,1187,0,7980,3,6
180400,"Pave","AllPub",789,2,0,1465,1,8402,3,7
171500,"Pave","AllPub",1300,2,0,1341,1,10176,2,5
212000,"Pave","AllPub",1488,2,0,1502,0,6820,1,4
538000,"Pave","AllPub",1650,3,0,3279,1,53504,4,12
164000,"Pave","AllPub",559,2,0,1752,0,12134,4,8
394432,"Pave","AllPub",1856,3,0,1856,1,11394,1,8
141000,"Pave","AllPub",864,2,0,864,0,19138,2,4
210000,"Pave","AllPub",1542,2,0,2073,2,13175,3,7
190000,"Pave","AllPub",1844,2,0,1844,1,11751,3,7
170000,"Pave","AllPub",1053,2,0,1173,2,10625,3,6
216000,"Pave","AllPub",814,2,0,1674,0,7500,3,7
149000,"Pave","AllPub",1004,2,0,1004,1,11241,2,5
149900,"Pave","AllPub",1078,2,0,1078,1,12537,3,6
142000,"Pave","AllPub",1056,1,0,1056,1,8450,3,6
126000,"Pave","AllPub",882,2,0,882,0,8400,2,4
115000,"Pave","AllPub",864,0,0,864,1,10500,3,5
184000,"Pave","AllPub",1405,2,0,1337,1,5858,2,5
96000,"Pave","AllPub",483,1,0,987,0,1680,2,5
105500,"Pave","AllPub",525,1,0,1092,0,1680,3,6
88000,"Pave","AllPub",525,1,0,1092,0,1680,3,6
127500,"Pave","AllPub",1069,2,0,1069,1,4043,2,4
149900,"Pave","AllPub",855,2,0,1456,1,2280,3,6
120000,"Pave","AllPub",836,1,0,836,0,2280,2,4
146000,"Pave","AllPub",855,2,0,1456,1,2280,3,7
376162,"Pave","AllPub",1590,3,0,2334,1,12858,3,10
306000,"Pave","AllPub",1704,3,0,1704,1,11478,3,7
395192,"Pave","AllPub",1930,3,0,1940,1,10159,3,8
290941,"Pave","AllPub",1544,3,0,1544,0,12883,3,7
220000,"Pave","AllPub",1541,2,0,1541,1,12182,3,7
275000,"Pave","AllPub",1698,3,0,1698,1,11520,3,7
259000,"Pave","AllPub",1822,3,0,1822,1,14122,3,8
214000,"Pave","AllPub",1517,2,0,1535,0,10171,3,7
611657,"Pave","AllPub",2330,3,0,2364,2,12919,2,11
224000,"Pave","AllPub",1358,2,0,1358,1,6371,2,6
500000,"Pave","AllPub",2846,3,0,2696,2,14300,3,10
320000,"Pave","AllPub",1671,3,0,2250,1,13650,3,7
319900,"Pave","AllPub",1752,2,0,1752,1,7658,2,6
205000,"Pave","AllPub",1370,2,0,1370,1,7132,2,6
175500,"Pave","AllPub",764,2,0,1626,0,2628,2,6
199500,"Pave","AllPub",1324,2,0,1324,0,18494,3,6
160000,"Pave","AllPub",1145,2,0,1145,0,3203,2,6
192000,"Pave","AllPub",1256,2,0,1269,1,3182,2,6
184500,"Pave","AllPub",384,2,0,1374,1,13300,3,7
216500,"Pave","AllPub",860,2,0,1960,2,7851,4,8
185088,"Pave","AllPub",847,2,0,1733,1,8577,3,7
180000,"Pave","AllPub",384,2,0,1430,1,7750,3,7
222500,"Pave","AllPub",884,2,0,2035,1,9505,3,8
333168,"Pave","AllPub",1393,3,0,2599,1,14774,4,10
355000,"Pave","AllPub",1629,3,0,2475,1,17433,4,7
260400,"Pave","AllPub",1720,2,0,1720,1,10593,3,7
325000,"Pave","AllPub",1463,2,0,2622,2,12256,3,9
290000,"Pave","AllPub",1152,3,0,2270,1,11764,4,9
221000,"Pave","AllPub",1195,2,0,1839,0,16770,4,7
410000,"Pave","AllPub",2033,3,0,3238,1,14720,4,9
221500,"Pave","AllPub",1595,3,0,1595,1,8987,2,6
204500,"Pave","AllPub",1218,2,0,1218,0,9215,2,4
215200,"Pave","AllPub",756,2,0,1547,0,8640,3,7
262500,"Pave","AllPub",1566,2,0,1566,0,9000,3,7
254900,"Pave","AllPub",991,2,0,1947,1,12552,3,8
271500,"Pave","AllPub",1468,2,0,1468,1,10440,2,6
233000,"Pave","AllPub",956,2,0,2084,0,10142,4,8
181000,"Pave","AllPub",831,2,0,1659,0,11920,3,8
205000,"Pave","AllPub",948,2,0,2110,2,8880,3,8
143000,"Pave","AllPub",923,1,0,923,1,8012,2,5
189000,"Pave","AllPub",1055,2,0,1845,1,11218,3,8
99500,"Pave","AllPub",918,1,0,918,1,7892,2,5
125000,"Pave","AllPub",744,1,0,752,0,7175,2,4
194500,"Pave","AllPub",996,2,0,1744,0,9453,3,7
152000,"Pave","AllPub",1040,2,0,1097,0,9672,3,6
171000,"Pave","AllPub",650,2,0,1564,1,8400,3,7
67500,"Pave","AllPub",816,1,0,1012,0,9800,2,5
112000,"Pave","AllPub",0,2,0,1902,0,8930,4,8
148000,"Pave","AllPub",1109,2,0,1155,0,11782,3,6
138500,"Pave","AllPub",894,1,0,894,1,8450,3,5
122000,"Pave","AllPub",882,1,0,900,0,9819,3,5
133000,"Pave","AllPub",1040,1,0,1040,0,7500,3,5
127000,"Pave","AllPub",1040,1,0,1040,0,6897,3,6
169000,"Pave","AllPub",1208,2,0,1494,2,15410,3,7
190000,"Pave","AllPub",750,2,0,1923,1,10186,3,8
362500,"Pave","AllPub",1231,3,0,2349,1,13143,4,9
285000,"Pave","AllPub",1390,3,0,2225,1,11134,4,7
260000,"Pave","AllPub",1488,2,0,1488,1,4835,2,6
190000,"Pave","AllPub",840,2,0,1680,0,3515,2,3
155000,"Pave","AllPub",600,2,0,1200,0,3215,2,4
151000,"Pave","AllPub",600,2,0,1200,0,3182,2,4
149500,"Pave","AllPub",600,2,0,1200,0,2544,2,4
152000,"Pave","AllPub",600,2,0,1236,0,2544,2,4
222000,"Pave","AllPub",1470,2,0,1478,1,4403,2,7
177500,"Pave","AllPub",756,2,0,1573,0,2117,3,5
177000,"Pave","AllPub",756,2,0,1512,0,2980,2,5
